encoder,family,input_size,params,gflops,fwd_bwd_ms,train_vram_mb,throughput_vol_s,status
conv_encoder3d,cnn,32,167200,,1.4407187700271606,19.33251953125,5876.515589325064,ok
conv_encoder3d,cnn,64,167200,,2.8122998774051666,141.4833984375,768.2520114742084,ok
conv_encoder3d,cnn,96,167200,,17.766516655683517,594.0009765625,35.315658153115606,ok
conv_encoder3d,cnn,128,167200,,46.16418480873108,1082.658203125,22.409738412510087,ok
conv_encoder3d,cnn,256,167200,,323.4599567949772,7267.60693359375,2.1503740130191273,ok
nninteractive,cnn,32,90302624,,,,,error:TorchRuntimeError
nninteractive,cnn,64,90302624,62.955890688,15.233172103762627,1284.279296875,170.23843930710837,ok
nninteractive,cnn,96,90302624,212.476131072,40.73871485888958,1774.68359375,6.489645427361042,ok
nninteractive,cnn,128,90302624,503.647125504,91.17666631937027,2671.72607421875,3.841936784260833,ok
nninteractive,cnn,256,90302624,4029.177004032,785.0040048360825,15249.01220703125,0.40087904358252535,ok
primus,transformer,32,21687936,1.374609408,3.5686977207660675,224.50830078125,10865.039159736501,ok
primus,transformer,64,21687936,10.996875264,4.091892391443253,255.6123046875,1559.2204994403712,ok
primus,transformer,96,21687936,37.114454016,8.11743177473545,468.25390625,392.6602920841708,ok
primus,transformer,128,21687936,87.975002112,24.294886738061905,890.8544921875,132.2996562401554,ok
primus,transformer,256,21687936,703.800016896,696.3316313922405,5699.4638671875,3.904525782670911,ok
resenc,cnn,32,24389600,7.404601344,4.0792301297187805,262.96875,2043.8021402447364,ok
resenc,cnn,64,24389600,59.236810752,12.69271969795227,649.630859375,161.25526582646074,ok
resenc,cnn,96,24389600,199.924236288,36.40550933778286,1133.857421875,10.886232980202358,ok
resenc,cnn,128,24389600,473.894486016,85.91368794441223,2020.59814453125,5.8255819895668255,ok
resenc,cnn,256,24389600,3791.155888128,756.8576131016016,14423.68896484375,0.7204011991154001,ok
segmamba,mamba,32,1443552,0.533528576,8.170418441295624,86.06396484375,1241.5485009276229,ok
segmamba,mamba,64,1443552,4.268228608,8.62719863653183,573.50927734375,580.0483542692895,ok
segmamba,mamba,96,1443552,14.405271552,17.610199749469757,1901.17333984375,85.8408123576655,ok
segmamba,mamba,128,1443552,,40.957944467663765,4351.259765625,37.432060285633156,ok
segmamba,mamba,256,1443552,,344.8253385722637,23587.259765625,5.366643331274188,ok
stunet,cnn,32,29212912,,,,,error:TorchRuntimeError
stunet,cnn,64,29212912,18.067941376,7.413677871227264,454.44091796875,349.212739370621,ok
stunet,cnn,96,29212912,60.979302144,19.625348970294,848.06396484375,21.577872479890424,ok
stunet,cnn,128,29212912,144.543531008,44.19033229351044,1611.50927734375,18.276917322309924,ok
stunet,cnn,256,29212912,1156.348248064,368.623323738575,10915.6982421875,1.3332812268368754,ok
threedino,transformer,32,306910208,2.757840896,59.60982106626034,2951.6767578125,1481.6755419139654,ok
threedino,transformer,64,306910208,20.122750976,59.0707752853632,2953.6455078125,496.17709844961456,ok
threedino,transformer,96,306910208,68.810067968,59.929562732577324,2970.3740234375,266.50946290317484,ok
threedino,transformer,128,306910208,170.14016,59.595225378870964,3013.25390625,92.22014447885232,ok
threedino,transformer,256,306910208,2080.559648768,874.2203656584024,45371.9443359375,3.1420606498654795,ok
vocomni_nnunet,cnn,32,14022880,,,,,error:TorchRuntimeError
vocomni_nnunet,cnn,64,14022880,17.46131456,6.060542538762093,285.16796875,475.16443937401834,ok
vocomni_nnunet,cnn,96,14022880,58.93193664,18.382219597697258,645.38671875,31.355462055216236,ok
vocomni_nnunet,cnn,128,14022880,139.69051648,43.16840507090092,1334.90576171875,23.943849166739483,ok
vocomni_nnunet,cnn,256,14022880,1117.52413184,374.3464723229408,9740.4697265625,2.8795686827833697,ok
vocomni_swin,transformer,32,72762068,2.661131328,62.589120119810104,686.095703125,561.1721428336069,ok
vocomni_swin,transformer,64,72762068,17.41234848,65.6463522464037,1610.45263671875,106.61646881822635,ok
vocomni_swin,transformer,96,72762068,50.986704192,86.00331284105778,3370.7099609375,40.25849294994371,ok
vocomni_swin,transformer,128,72762068,129.828860544,197.5809969007969,8756.21533203125,7.139040718215238,ok
vocomni_swin,transformer,256,72762068,,,,,oom
