run_id,run_name,description,epoch,class,in_train,subject,ctx_cases,self_ctx,dice,nsd,soft_dice,loss,time_ms,tgt_size,tgt_occ,ctx_size,ctx_occ,spacing,synth_size,detail
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,aorta,True,s0760,s0095,False,0.708,,0.7121,0.2891601622104645,26.6,762.0,0.000363,5926.0,0.002826,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,aorta,True,s1133,s0216,False,0.1065,,0.1067,0.9535108208656311,26.6,10251.0,0.004888,85.0,4.1e-05,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,aorta,True,s0607,s0324,False,0.6708,,0.6621,0.3473644256591797,26.6,4043.0,0.001928,743.0,0.000354,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,aorta,True,s0420,s1238,False,0.8719,,0.8611,0.1413968801498413,26.6,5779.0,0.002756,3818.0,0.001821,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,aorta,True,s0420,s0095,False,0.9267,,0.92,0.08129250258207321,26.6,5779.0,0.002756,5926.0,0.002826,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,aorta,True,s1106,s1199,False,0.5685,,0.5559,0.4506133198738098,26.6,1397.0,0.000666,3928.0,0.001873,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,atrial_appendage_left,False,s0625,s1287,False,0.4484,,0.4421,0.5584999322891235,29.2,69.0,3.3e-05,112.0,5.3e-05,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,atrial_appendage_left,False,s0918,s0021,False,0.2366,,0.208,0.7925500869750977,26.5,49.0,2.3e-05,71.0,3.4e-05,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,atrial_appendage_left,False,s1337,s1002,False,0.3885,,0.3701,0.6305243372917175,26.6,50.0,2.4e-05,103.0,4.9e-05,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,atrial_appendage_left,False,s1337,s0625,False,0.3495,,0.3343,0.6663318276405334,26.6,50.0,2.4e-05,69.0,3.3e-05,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,atrial_appendage_left,False,s0655,s0546,False,0.3785,,0.3717,0.6291130185127258,26.6,73.0,3.5e-05,81.0,3.9e-05,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,atrial_appendage_left,False,s0747,s0021,False,0.1787,,0.1828,0.8184998035430908,26.6,153.0,7.3e-05,71.0,3.4e-05,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,atrial_appendage_left,False,s0650,s0824,False,0.3817,,0.3717,0.6291019320487976,26.6,89.0,4.2e-05,77.0,3.7e-05,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,atrial_appendage_left,False,s0808,s0458,False,0.1086,,0.1033,0.8985769152641296,26.6,66.0,3.1e-05,13.0,6e-06,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,atrial_appendage_left,False,s0747,s1106,False,0.0845,,0.0843,0.9173592329025269,26.6,153.0,7.3e-05,53.0,2.5e-05,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,autochthon_left,True,s0625,s0466,False,0.856,,0.8443,0.15886810421943665,26.6,7189.0,0.003428,504.0,0.00024,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,autochthon_left,True,s1024,s0506,False,0.7636,,0.7494,0.2579513490200043,26.5,7013.0,0.003344,1501.0,0.000716,4.24,,ct ct<-ct
